"Age","Overall","Non-Citizen","Citizen"
"0-4",2306700,242200,2064500
"5-9",2516400,190500,2325900
"10-14",2579300,90700,2488600
"15-19",2705200,179700,2525500
"20-24",3155500,472500,2683000
"25-29",3086800,616200,2470600
"30-34",2889400,509300,2380100
"35-39",2849400,371900,2477500
"40-44",2660600,246600,2414000
"45-49",2104600,146100,1958500
"50-54",1759200,79400,1679800
"55-59",1505900,47300,1458600
"60-64",1366100,30500,1335600
"65-69",1090300,67000,1023300
"70-74",786400,35300,751100
"75-79",486300,19300,467000
"80-84",228900,15300,213600
"85+",154600,20800,133800
